runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
1,1,1,7,1,1,1.2,16,3,5,2,0.0,1771.5843313916037,2764.998,13333.333,,1,2,14999.993999999999,2700,1000,1000.0,10,17,6,2,8333.333,0,0,15104.917,1,1
2,1,2,2,1,1,1.2,13,1,15,5,0.0,2422.0818606418693,2360.22,10833.333,,1,3,14999.993999999999,2700,1000,1000.0,9,11,4,2,7500.0,0,0,13255.415,1,0
3,1,1,1,1,1,1.2,17,1,18,6,0.0,1992.1052078763362,2455.581,14166.667,,1,3,14999.993999999999,2700,1000,1000.0,10,11,4,2,8333.333,0,0,16158.772,1,0
4,1,2,2,1,1,1.2,15,1,17,6,1000.0,1718.7488401650826,2360.272,12500.0,,1,2,14999.993999999999,2700,1000,0.0,12,14,5,2,10000.0,1,1,14218.749,1,0
5,1,1,1,1,1,1.2,17,1,18,6,1000.0,2431.860691485411,2903.863,14166.667,,1,3,14999.993999999999,2700,1000,0.0,13,14,5,2,10833.333,1,1,16598.528,1,0
6,1,2,11,1,1,1.2,15,4,8,3,0.0,2405.5659791550397,2608.411,12500.0,,1,2,14999.993999999999,2700,1000,1000.0,9,2,1,2,7500.0,0,0,14905.566,1,0
7,1,3,15,2,2,2.0,15,5,12,4,0.0,1164.7136625792834,2216.16,7500.0,,1,3,9000.0,2700,1000,1000.0,8,5,2,2,4000.0,0,0,8664.714,1,1
8,1,2,17,2,2,2.0,17,6,16,6,1000.0,1427.6436821003167,2424.72,8500.0,,1,1,9000.0,2700,1000,0.0,9,8,3,2,4500.0,1,1,9927.644,1,0
9,1,1,7,2,2,2.0,13,3,2,1,0.0,1179.98854440488,2256.799,6500.0,,1,2,9000.0,2700,1000,1000.0,7,14,5,2,3500.0,0,0,7679.989,1,0
10,1,3,12,2,2,2.0,14,4,8,3,0.0,1051.7152958456193,2871.893,7000.0,,1,2,9000.0,2700,1000,1000.0,8,2,1,2,4000.0,0,0,8051.715,1,0
11,1,1,13,2,2,2.0,15,5,10,4,0.0,1333.0111894710938,2815.31,7500.0,,1,1,9000.0,2700,1000,1000.0,10,5,2,2,5000.0,0,0,8833.011,1,0
12,1,3,15,2,2,2.0,16,5,13,5,0.0,1118.365902405315,2348.975,8000.0,,1,1,9000.0,2700,1000,1000.0,11,8,3,2,5500.0,0,0,9118.366,1,0
13,1,2,11,3,3,1.2,15,4,8,3,0.0,1669.0334009801297,2055.852,12500.0,,1,2,14999.993999999999,2700,1000,1000.0,9,2,1,2,7500.0,0,0,14169.033,1,1
14,1,3,12,3,3,1.2,15,4,9,3,0.0,1855.3620576275403,2378.258,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,8,2,1,2,6666.667,0,0,14355.362,1,0
15,1,3,15,3,3,1.2,13,5,10,4,0.0,2277.301403015259,2009.838,10833.333,,1,1,14999.993999999999,2700,1000,1000.0,8,5,2,2,6666.667,0,0,13110.634,1,0
16,1,3,3,3,3,1.2,13,1,16,6,0.0,2413.8352196745577,2583.844,10833.333,,1,1,14999.993999999999,2700,1000,1000.0,8,11,4,2,6666.667,0,0,13247.168,1,0
17,1,3,18,3,3,1.2,16,6,16,6,0.0,1751.8761791314091,2731.601,13333.333,,1,1,14999.993999999999,2700,1000,1000.0,11,11,4,2,9166.667,0,0,15085.209,1,0
18,1,2,5,3,3,1.2,13,2,18,6,0.0,2126.8217927870073,2774.323,10833.333,,1,3,14999.993999999999,2700,1000,1000.0,6,11,4,2,5000.0,0,0,12960.155,1,0
19,1,3,18,4,4,2.0,17,6,17,6,0.0,1481.8904557010244,2551.797,8500.0,,1,2,9000.0,2700,1000,1000.0,11,11,4,2,5500.0,0,0,9981.89,1,1
20,1,1,7,4,4,2.0,12,3,1,1,1000.0,1016.6599749127694,2934.539,6000.0,,1,1,9000.0,2700,1000,0.0,7,14,5,2,3500.0,1,-1,7016.66,1,0
21,1,2,8,4,4,2.0,13,3,3,1,0.0,1375.6659269984707,2686.744,6500.0,,1,3,9000.0,2700,1000,1000.0,6,14,5,2,3000.0,0,0,7875.666,1,0
22,1,2,11,4,4,2.0,16,4,9,3,0.0,1146.5758026044166,2661.223,8000.0,,1,3,9000.0,2700,1000,1000.0,9,2,1,2,4500.0,0,0,9146.576,1,0
23,1,2,2,4,4,2.0,15,1,17,6,0.0,1478.0218706652652,2256.108,7500.0,,1,2,9000.0,2700,1000,1000.0,9,11,4,2,4500.0,0,0,8978.022,1,0
24,1,2,11,4,4,2.0,13,4,6,2,0.0,1454.8756886728497,2821.329,6500.0,,1,3,9000.0,2700,1000,1000.0,9,2,1,2,4500.0,0,0,7954.876,1,0
25,1,3,6,5,5,1.2,17,2,5,2,0.0,1714.137446475972,2249.613,14166.667,,1,2,14999.993999999999,2700,1000,1000.0,11,17,6,2,9166.667,0,0,15880.804,1,1
26,1,1,1,5,5,1.2,12,1,13,5,0.0,2124.8828829804766,2556.74,10000.0,,1,1,14999.993999999999,2700,1000,1000.0,7,8,3,2,5833.333,0,0,12124.883,1,0
27,1,3,6,5,5,1.2,14,2,2,1,0.0,1953.446796643312,2841.358,11666.667,,1,2,14999.993999999999,2700,1000,1000.0,8,14,5,2,6666.667,0,0,13620.114,1,0
28,1,1,4,5,5,1.2,16,2,2,1,0.0,2304.9518400462002,2812.065,13333.333,,1,2,14999.993999999999,2700,1000,1000.0,10,14,5,2,8333.333,0,0,15638.285,1,0
29,1,1,10,5,5,1.2,14,4,6,2,0.0,2245.486841927581,2258.13,11666.667,,1,3,14999.993999999999,2700,1000,1000.0,7,17,6,2,5833.333,0,0,13912.154,1,0
30,1,2,2,5,5,1.2,14,1,16,6,0.0,1876.9514398517306,2329.29,11666.667,,1,1,14999.993999999999,2700,1000,1000.0,9,11,4,2,7500.0,0,0,13543.618,1,0
31,1,2,17,6,6,2.0,15,6,14,5,1000.0,1474.6204795256422,2810.966,7500.0,,1,2,9000.0,2700,1000,0.0,12,11,4,2,6000.0,1,-1,8974.62,1,1
32,1,3,3,6,6,2.0,13,1,16,6,0.0,1179.9903115988352,2205.228,6500.0,,1,1,9000.0,2700,1000,1000.0,8,11,4,2,4000.0,0,0,7679.99,1,0
33,1,1,10,6,6,2.0,16,4,8,3,0.0,1076.726663829686,2438.993,8000.0,,1,2,9000.0,2700,1000,1000.0,10,2,1,2,5000.0,0,0,9076.727,1,0
34,1,1,16,6,6,2.0,12,6,10,4,1000.0,1000.1978742530107,2908.747,6000.0,,1,1,9000.0,2700,1000,0.0,7,5,2,2,3500.0,1,1,7000.198,1,0
35,1,1,13,6,6,2.0,15,5,10,4,0.0,1141.2861662985686,2589.506,7500.0,,1,1,9000.0,2700,1000,1000.0,10,5,2,2,5000.0,0,0,8641.286,1,0
36,1,2,11,6,6,2.0,12,4,5,2,0.0,1414.0563969113243,2290.491,6000.0,,1,2,9000.0,2700,1000,1000.0,6,17,6,2,3000.0,0,0,7414.056,1,0
1,2,1,1,7,1,2.0,14,1,15,5,0.0,1329.546007751208,2201.692,7000.0,,1,3,9000.0,2700,1000,1000.0,10,11,4,2,5000.0,0,0,8329.546,1,1
2,2,2,11,7,1,2.0,13,4,6,2,0.0,1362.8325961754254,2043.048,6500.0,,1,3,9000.0,2700,1000,1000.0,9,2,1,2,4500.0,0,0,7862.833,1,0
3,2,2,11,7,1,2.0,13,4,6,2,0.0,1495.555397080005,2449.379,6500.0,,1,3,9000.0,2700,1000,1000.0,6,17,6,2,3000.0,0,0,7995.555,1,0
4,2,3,3,7,1,2.0,12,1,15,5,0.0,1191.2503683952552,2981.992,6000.0,,1,3,9000.0,2700,1000,1000.0,8,11,4,2,4000.0,0,0,7191.25,1,0
5,2,2,2,7,1,2.0,12,1,14,5,0.0,1340.3604428553656,2069.625,6000.0,,1,2,9000.0,2700,1000,1000.0,9,11,4,2,4500.0,0,0,7340.36,1,0
6,2,1,4,7,1,2.0,15,2,1,1,0.0,1146.6301235823478,2731.883,7500.0,,1,1,9000.0,2700,1000,1000.0,10,14,5,2,5000.0,0,0,8646.63,1,0
7,2,1,16,8,2,1.2,16,6,14,5,0.0,1673.6981596153528,2682.192,13333.333,,1,2,14999.993999999999,2700,1000,1000.0,10,8,3,2,8333.333,0,0,15007.031,1,1
8,2,3,15,8,2,1.2,17,5,14,5,0.0,1832.0616771479765,2727.649,14166.667,,1,2,14999.993999999999,2700,1000,1000.0,14,11,4,2,11666.667,0,0,15998.729,1,0
9,2,3,18,8,2,1.2,14,6,14,5,0.0,2102.819194583821,2679.445,11666.667,,1,2,14999.993999999999,2700,1000,1000.0,8,8,3,2,6666.667,0,0,13769.486,1,0
10,2,3,9,8,2,1.2,15,3,6,2,0.0,1826.0098852306419,2622.491,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,11,2,1,2,9166.667,0,0,14326.01,1,0
11,2,2,14,8,2,1.2,12,5,8,3,1000.0,2358.080538914756,2483.749,10000.0,,1,2,14999.993999999999,2700,1000,0.0,9,5,2,2,7500.0,1,-1,12358.081,1,0
12,2,3,12,8,2,1.2,15,4,9,3,0.0,1723.5045408269093,2798.243,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,8,2,1,2,6666.667,0,0,14223.505,1,0
13,2,2,5,9,3,2.0,14,2,1,1,0.0,1061.8779658210367,2391.534,7000.0,,1,1,9000.0,2700,1000,1000.0,9,14,5,2,4500.0,0,0,8061.878,1,1
14,2,1,16,9,3,2.0,12,6,10,4,0.0,1189.4507223130372,2101.034,6000.0,,1,1,9000.0,2700,1000,1000.0,7,5,2,2,3500.0,0,0,7189.451,1,0
15,2,1,7,9,3,2.0,14,3,3,1,0.0,1141.2734182402385,2574.988,7000.0,,1,3,9000.0,2700,1000,1000.0,10,17,6,2,5000.0,0,0,8141.273,1,0
16,2,1,4,9,3,2.0,16,2,2,1,0.0,1302.5799618144463,2336.461,8000.0,,1,2,9000.0,2700,1000,1000.0,13,17,6,2,6500.0,0,0,9302.58,1,0
17,2,2,11,9,3,2.0,16,4,9,3,0.0,1243.0886010562035,2008.533,8000.0,,1,3,9000.0,2700,1000,1000.0,9,2,1,2,4500.0,0,0,9243.089,1,0
18,2,2,8,9,3,2.0,12,3,2,1,0.0,1221.1911077662148,2149.999,6000.0,,1,2,9000.0,2700,1000,1000.0,9,17,6,2,4500.0,0,0,7221.191,1,0
19,2,1,4,10,4,1.2,12,2,16,6,0.0,2465.7900390561535,2439.263,10000.0,,1,1,14999.993999999999,2700,1000,1000.0,7,11,4,2,5833.333,0,0,12465.79,1,1
20,2,2,17,10,4,1.2,15,6,14,5,0.0,1896.7950352131438,2440.102,12500.0,,1,2,14999.993999999999,2700,1000,1000.0,6,5,2,2,5000.0,0,0,14396.795,1,0
