runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
1,1,2,14,1,1,2.0,12,5,2,1,0.0,1392.6050052390397,2447.063,6000.0,,-1,2,9000.0,2700,1000,1000.0,6,8,3,2,3000.0,0,0,7392.605,6,1
2,1,1,4,1,1,2.0,16,2,6,2,0.0,1249.534134524848,2880.454,8000.0,,-1,3,9000.0,2700,1000,1000.0,8,14,5,2,4000.0,0,0,9249.534,6,0
3,1,2,14,1,1,2.0,15,5,17,6,0.0,1070.7519291956291,2259.248,7500.0,,-1,2,9000.0,2700,1000,1000.0,9,5,2,2,4500.0,0,0,8570.752,6,0
4,1,3,9,1,1,2.0,15,3,12,4,0.0,1095.3501530024773,2638.641,7500.0,,-1,3,9000.0,2700,1000,1000.0,7,2,1,2,3500.0,0,0,8595.35,6,0
5,1,1,16,1,1,2.0,12,6,4,2,1000.0,1382.702727895862,2954.624,6000.0,,-1,1,9000.0,2700,1000,0.0,8,8,3,2,4000.0,1,1,7382.703,6,0
6,1,3,18,1,1,2.0,12,6,6,2,0.0,1182.5936340082576,2867.697,6000.0,,-1,3,9000.0,2700,1000,1000.0,7,11,4,2,3500.0,0,0,7182.594,6,0
7,1,2,2,2,2,1.2,17,1,3,1,0.0,1848.7256879416525,2543.986,14166.667,,-1,3,14999.993999999999,2700,1000,1000.0,9,11,4,2,7500.0,0,0,16015.393,6,1
8,1,1,13,2,2,1.2,14,5,17,6,0.0,2267.163961927306,2897.545,11666.667,,-1,2,14999.993999999999,2700,1000,1000.0,8,5,2,2,6666.667,0,0,13933.831,6,0
9,1,3,15,2,2,1.2,15,5,18,6,1000.0,2416.6180130046896,2537.057,12500.0,,-1,3,14999.993999999999,2700,1000,0.0,7,8,3,2,5833.333,1,1,14916.618,6,0
10,1,1,4,2,2,1.2,13,2,9,3,0.0,2263.920689996304,2182.114,10833.333,,-1,3,14999.993999999999,2700,1000,1000.0,8,14,5,2,6666.667,0,0,13097.254,6,0
11,1,2,17,2,2,1.2,14,6,3,1,0.0,1813.4700431806189,2474.806,11666.667,,-1,3,14999.993999999999,2700,1000,1000.0,9,8,3,2,7500.0,0,0,13480.137,6,0
12,1,3,12,2,2,1.2,16,4,14,5,0.0,1828.3169532206505,2559.932,13333.333,,-1,2,14999.993999999999,2700,1000,1000.0,10,2,1,2,8333.333,0,0,15161.65,6,0
13,1,2,5,3,3,2.0,14,2,9,3,0.0,1071.846133176703,2032.076,7000.0,,-1,3,9000.0,2700,1000,1000.0,9,14,5,2,4500.0,0,0,8071.846,6,1
14,1,3,18,3,3,2.0,14,6,4,2,0.0,1334.7077732917974,2308.887,7000.0,,-1,1,9000.0,2700,1000,1000.0,10,8,3,2,5000.0,0,0,8334.708,6,0
15,1,3,6,3,3,2.0,13,2,11,4,1000.0,1236.892297990313,2449.702,6500.0,,-1,2,9000.0,2700,1000,0.0,10,14,5,2,5000.0,1,1,7736.892,6,0
16,1,2,17,3,3,2.0,12,6,5,2,0.0,1075.9955327052721,2758.261,6000.0,,-1,2,9000.0,2700,1000,1000.0,9,8,3,2,4500.0,0,0,7075.996,6,0
