pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,direction,subid
hand,house,face,animal,tool,leg,object,food,shape,1,1
animal,house,tool,food,shape,face,hand,leg,object,-1,2
house,leg,face,shape,object,animal,food,hand,tool,1,3
shape,house,face,object,hand,animal,tool,food,leg,-1,4
face,house,leg,tool,food,shape,animal,object,hand,1,5
shape,house,animal,face,food,tool,leg,object,hand,-1,6
leg,food,face,tool,house,object,hand,animal,shape,1,7
shape,house,tool,face,animal,hand,food,object,leg,-1,8
object,food,animal,tool,house,face,leg,shape,hand,1,9
hand,food,shape,animal,house,object,leg,tool,face,-1,10
face,tool,leg,object,house,animal,shape,food,hand,1,11
hand,shape,leg,face,house,tool,animal,food,object,-1,12
tool,face,food,house,leg,animal,object,hand,shape,1,13
food,animal,hand,face,leg,shape,tool,object,house,-1,14
face,leg,shape,hand,tool,object,animal,house,food,1,15
object,face,animal,shape,house,hand,food,leg,tool,-1,16
house,object,food,shape,leg,hand,face,tool,animal,1,17
hand,object,animal,shape,food,tool,leg,house,face,-1,18
face,object,tool,shape,hand,house,food,leg,animal,1,19
animal,tool,face,hand,leg,shape,food,object,house,-1,20
leg,hand,tool,animal,house,object,shape,face,food,1,21
animal,face,food,object,shape,tool,hand,house,leg,-1,22
face,object,animal,leg,house,shape,tool,food,hand,1,23
hand,food,tool,shape,house,leg,animal,object,face,-1,24
object,leg,hand,face,shape,food,tool,house,animal,1,25
food,face,shape,object,house,animal,tool,hand,leg,-1,26
hand,object,leg,tool,food,face,animal,house,shape,1,27
shape,hand,object,animal,leg,house,food,face,tool,-1,28
house,food,animal,leg,hand,face,shape,object,tool,1,29
shape,animal,hand,object,house,tool,face,food,leg,-1,30
house,object,tool,shape,leg,face,hand,animal,food,1,31
food,house,animal,object,tool,hand,shape,leg,face,-1,32
leg,house,hand,tool,shape,object,food,face,animal,1,33
animal,leg,food,house,hand,shape,tool,object,face,-1,34
tool,leg,food,hand,house,shape,animal,face,object,1,35
tool,hand,food,animal,object,shape,face,leg,house,-1,36
leg,object,food,hand,animal,face,tool,house,shape,1,37
shape,food,object,leg,tool,animal,face,house,hand,-1,38
leg,food,tool,animal,hand,object,face,house,shape,1,39
tool,object,shape,face,hand,leg,animal,food,house,-1,40
