run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,target_cat,target_cat_pos,start_cat,start_cat_pos,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
1,1,16,1.6,food,2,food_2,1,1,8,16,14,7,2,8,2,1,11.25,2500,1000,1000,2001.9440134101935,0,1286.532027330232,10000.0,17799.726040740425,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,hand,2,hand_2,2,2,1,2,1,1,1,1,2,1,0.0,2500,1000,1000,2451.806637747558,0,1295.4874983052678,10625.0,18872.294136052828,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,tool,1,tool_1,3,3,5,9,5,3,1,5,1,1,0.0,2500,1000,1000,2379.0322706326315,0,1701.093368475187,8750.0,17330.12563910782,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,12,1.6,object,2,object_2,4,4,7,14,8,4,2,7,2,1,0.0,2500,1000,1000,2542.9762293961603,0,1759.2150890889288,7500.0,16302.19131848509,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,shape,2,shape_2,5,5,9,18,13,7,1,9,2,1,0.0,2500,1000,1000,2020.704613548149,0,1719.4974829991584,8125.0,16365.202096547308,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,face,1,face_1,6,6,3,5,2,1,2,3,1,1,0.0,2500,1000,1000,2500.442501741044,0,1601.5837571763168,9375.0,17977.02625891736,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,animal,1,animal_1,7,7,4,7,6,3,2,4,1,1,0.0,2500,1000,1000,2248.5434006152636,1000,1257.960123346029,10625.0,19631.50352396129,1,1,13,2,1,2,8125.0,2.0,1.0,3.0,-1,1.0,1,1
1,1,12,1.6,house,2,house_2,8,8,2,4,16,8,2,2,2,1,0.0,2500,1000,1000,2868.973275423601,0,1605.0636045412325,7500.0,16474.036879964835,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,12,1.6,leg,2,leg_2,9,9,6,12,6,3,2,6,2,1,0.0,2500,1000,1000,2272.6751947528155,1000,1821.582099227783,7500.0,17094.257293980598,1,1,7,1,1,1,4375.0,2.0,2.0,4.0,-1,1.0,1,1
1,2,13,2.0,leg,1,leg_1,10,10,6,11,6,3,2,6,1,1,9.0,2500,1000,1000,2027.542390515796,0,1322.6168252339764,6500.0,14359.159215749773,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,house,2,house_2,11,11,2,4,2,1,2,2,2,1,0.0,2500,1000,1000,2147.4496285683467,0,1111.8616220893348,8000.0,15759.311250657682,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,17,2.0,face,2,face_2,12,12,3,6,5,3,1,3,2,1,0.0,2500,1000,1000,2328.362587398254,0,1021.8990757421637,8500.0,16350.261663140418,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,14,2.0,animal,1,animal_1,13,13,4,7,3,2,1,4,1,1,0.0,2500,1000,1000,2711.406662348507,0,1110.4416726787892,7000.0,15321.848335027296,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,17,2.0,shape,1,shape_1,14,14,9,17,16,8,2,9,1,1,0.0,2500,1000,1000,2090.1418518317378,0,1043.6225908157635,8500.0,16133.764442647502,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,15,2.0,hand,1,hand_1,15,15,1,1,16,8,2,1,1,1,0.0,2500,1000,1000,2869.9996437936124,0,1247.3559352737955,7500.0,16117.355579067407,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,13,2.0,tool,1,tool_1,16,16,5,9,4,2,2,5,1,1,0.0,2500,1000,1000,2982.3174894776002,0,1153.214408363769,6500.0,15135.531897841369,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,12,2.0,food,2,food_2,17,17,8,16,10,5,2,8,2,1,0.0,2500,1000,1000,2927.5843727668607,1000,1453.527824546727,6000.0,15881.112197313589,1,1,8,6,3,2,4000.0,4.0,1.0,7.0,1,-1.0,1,1
1,2,16,2.0,object,2,object_2,18,18,7,14,12,6,2,7,2,1,0.0,2500,1000,1000,2278.719809407473,0,1236.1173440650855,8000.0,16014.83715347256,1,0,0,0,0,0,0.0,,,,0,,1,1
1,3,14,1.6,face,2,face_2,19,19,3,6,2,1,2,3,2,1,11.25,2500,1000,1000,2325.3699807577555,0,1340.6032906986088,8750.0,16927.223271456365,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,13,1.6,hand,1,hand_1,20,20,1,1,14,7,2,1,1,1,0.0,2500,1000,1000,2338.7486673407084,0,1278.4741871010476,8125.0,16242.222854441756,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,16,1.6,tool,2,tool_2,21,21,5,10,8,4,2,5,2,1,0.0,2500,1000,1000,2374.3434043782895,0,1320.2053052612646,10000.0,18194.54870963955,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,17,1.6,animal,2,animal_2,22,22,4,8,7,4,1,4,2,1,0.0,2500,1000,1000,2290.4815686237926,0,1354.1511421469938,10625.0,18769.632710770788,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,15,1.6,shape,1,shape_1,23,23,9,17,14,7,2,9,1,1,0.0,2500,1000,1000,2383.9369393991788,0,1507.539278433941,9375.0,17766.47621783312,0,0,0,0,0,0,0.0,,,,0,,1,1
