run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,target_cat,target_cat_pos,start_cat,start_cat_pos,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
1,1,17,1.6,animal,1,animal_1,1,1,4,7,6,2,1,11.25,2500,1000,1000,2346.326178793529,0,1438.191075598558,10625.0,18920.767254392085,1,3,2,4,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,12,1.6,food,1,food_1,2,2,8,15,9,1,1,0.0,2500,1000,1000,2821.0890967130576,0,1743.105676267599,7500.0,16564.194772980656,1,5,1,8,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,16,1.6,face,1,face_1,3,3,3,5,3,1,1,0.0,2500,1000,1000,2657.688594626885,0,1633.027262501703,10000.0,18790.715857128587,1,2,1,3,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,house,2,house_2,4,4,2,4,1,1,1,0.0,2500,1000,1000,2429.125546918984,0,1512.1644178212794,9375.0,17816.289964740263,1,1,1,2,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,hand,1,hand_1,5,5,1,1,18,2,1,0.0,2500,1000,1000,2768.051720904002,0,1529.9344727565351,10625.0,19422.986193660538,1,9,2,1,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,object,1,object_1,6,6,7,13,8,2,1,0.0,2500,1000,1000,2808.8041619279556,1000,1609.5408669563656,8125.0,18043.345028884323,1,4,2,7,1,1,8,3,2,1,5000.0,3.0,2.0,6.0,1,-1.0,1,1
1,1,16,1.6,tool,2,tool_2,7,7,5,10,8,2,1,0.0,2500,1000,1000,2729.2300364248113,0,1395.4864286435723,10000.0,18624.716465068384,1,4,2,5,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,leg,2,leg_2,8,8,6,12,9,1,1,0.0,2500,1000,1000,2878.5620650470128,0,1250.071435612109,9375.0,18003.63350065912,1,5,1,6,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,12,1.6,shape,1,shape_1,9,9,9,17,11,1,1,0.0,2500,1000,1000,2653.375258694627,0,1391.2715105418959,7500.0,16044.646769236522,1,6,1,9,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,15,2.0,house,2,house_2,10,10,2,4,1,1,1,9.0,2500,1000,1000,2557.0259056470127,0,1302.2085480471478,7500.0,15868.23445369416,1,1,1,2,2,0,0,0,0,0,0.0,,,,0,,1,1
1,2,12,2.0,face,1,face_1,11,11,3,5,17,1,1,0.0,2500,1000,1000,2940.8356716224635,0,1287.8001264561865,6000.0,14728.63579807865,1,9,1,3,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,13,2.0,food,2,food_2,12,12,8,16,11,1,1,0.0,2500,1000,1000,2215.8251040010136,1000,1295.9780206368648,6500.0,15511.803124637878,1,6,1,8,2,1,6,4,2,2,3000.0,3.0,1.0,5.0,1,-1.0,1,1
1,2,15,2.0,shape,1,shape_1,13,13,9,17,14,2,1,0.0,2500,1000,1000,2275.9963801888916,0,1132.2602573718204,7500.0,15408.256637560713,1,7,2,9,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,17,2.0,animal,1,animal_1,14,14,4,7,6,2,1,0.0,2500,1000,1000,2898.8536389636397,1000,1185.559940146055,8500.0,18084.413579109692,1,3,2,4,1,1,8,15,8,1,4000.0,9.0,2.0,18.0,-1,1.0,1,1
